epoch,train_loss,train_acc,val_acc
1,3.746654936528968,0.5833654967165759,0.6612135355892649
2,2.9143725185868408,0.6882025821883392,0.6719603267211202
3,2.6762909050370016,0.7285732023428674,0.6720595099183198
4,2.5071641570426264,0.7611222701693847,0.6665752625437573
5,2.3717606505489224,0.7904277402208493,0.6612835472578763
6,2.2456247556695175,0.8182136167577659,0.6565227537922987
7,2.134380765797744,0.8441135931092668,0.6520828471411902
8,2.034207978976488,0.868445844302081,0.6486931155192532
9,1.9438580404338845,0.8904683609772458,0.6454842473745624
10,1.867150589999952,0.9093768269626656,0.6415227537922987
11,1.803904451903052,0.925012645654953,0.6387981330221704
12,1.7566642487879338,0.9371059175332763,0.636732788798133
13,1.7227594315927384,0.9456909107574946,0.6356067677946324
14,1.7054501101733612,0.9499671671605388,0.6340665110851809
15,1.6976488611962364,0.9518699199952421,0.6329638273045508
